orpha_code,hpo_id,frequency
ORPHA:2485,HP:0002653,Freq:VF
ORPHA:2485,HP:0011987,Freq:VF
ORPHA:2485,HP:0000924,Freq:VF
ORPHA:2485,HP:0006824,Freq:VF
ORPHA:2485,HP:0000987,Freq:OC
ORPHA:2485,HP:0001508,Freq:VF
ORPHA:2485,HP:0002652,Freq:VF
ORPHA:2485,HP:0001369,Freq:OC
ORPHA:2485,HP:0100559,Freq:F
ORPHA:2485,HP:0002829,Freq:VF
ORPHA:2485,HP:0100784,Freq:OC
ORPHA:2485,HP:0100774,Freq:VF
ORPHA:2485,HP:0100560,Freq:F
ORPHA:2485,HP:0011001,Freq:VF
ORPHA:2485,HP:0001387,Freq:VF
ORPHA:2485,HP:0001004,Freq:VF
ORPHA:2485,HP:0003202,Freq:VF
ORPHA:90033,HP:0030848,Freq:OC
ORPHA:90033,HP:0005523,Freq:F
ORPHA:90033,HP:0003641,Freq:F
ORPHA:90033,HP:0005550,Freq:OC
ORPHA:90033,HP:0002875,Freq:VF
ORPHA:90033,HP:0001945,Freq:OC
ORPHA:90033,HP:0001649,Freq:OC
ORPHA:90033,HP:0012086,Freq:OC
ORPHA:90033,HP:0008282,Freq:F
ORPHA:90033,HP:0002829,Freq:F
ORPHA:90033,HP:0012378,Freq:VF
ORPHA:90033,HP:0020062,Freq:F
ORPHA:90033,HP:0002960,Freq:VF
ORPHA:90033,HP:0000952,Freq:OC
ORPHA:90033,HP:0004835,Freq:F
ORPHA:90033,HP:0025435,Freq:F
ORPHA:90033,HP:0020181,Freq:F
ORPHA:90033,HP:0001744,Freq:F
ORPHA:90033,HP:0001890,Freq:VF
ORPHA:90033,HP:0032366,Freq:F
ORPHA:90033,HP:0000980,Freq:VF
ORPHA:90033,HP:0001923,Freq:F
ORPHA:90033,HP:0002725,Freq:OC
ORPHA:90033,HP:0001635,Freq:OC
ORPHA:90033,HP:0001962,Freq:F
ORPHA:90033,HP:0002315,Freq:VF
ORPHA:90033,HP:0100749,Freq:OC
ORPHA:157965,HP:0000926,Freq:F
ORPHA:157965,HP:0000494,Freq:F
ORPHA:157965,HP:0000592,Freq:VF
ORPHA:157965,HP:0000974,Freq:VF
ORPHA:157965,HP:0003370,Freq:F
ORPHA:157965,HP:0001371,Freq:OC
ORPHA:157965,HP:0001182,Freq:F
ORPHA:157965,HP:0006429,Freq:F
ORPHA:157965,HP:0003393,Freq:F
ORPHA:157965,HP:0000963,Freq:VF
ORPHA:157965,HP:0000938,Freq:F
ORPHA:157965,HP:0003071,Freq:F
ORPHA:157965,HP:0010489,Freq:F
ORPHA:157965,HP:0100864,Freq:F
ORPHA:157965,HP:0000944,Freq:F
ORPHA:157965,HP:0008848,Freq:VF
ORPHA:157965,HP:0000520,Freq:VF
ORPHA:157965,HP:0000978,Freq:VF
ORPHA:157965,HP:0001508,Freq:VF
ORPHA:157965,HP:0002652,Freq:VF
ORPHA:737,HP:0002814,Freq:OC
ORPHA:737,HP:0100872,Freq:F
ORPHA:737,HP:0200044,Freq:F
ORPHA:737,HP:0011354,Freq:OC
ORPHA:737,HP:0045059,Freq:F
ORPHA:737,HP:0040211,Freq:F
ORPHA:737,HP:0000989,Freq:OC
